ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60617,35,08/23/2020,08/29/2020,80,1967,97,2383.3,1321,23267,1601,28190.8,0.1,0.1,1,76,1.2,92.1,82534,60617-2020-35,POINT (-87.556897 41.721257)
60617,36,08/30/2020,09/05/2020,67,2034,81,2464.4,1073,24340,1300,29490.9,0.1,0.1,3,79,3.6,95.7,82534,60617-2020-36,POINT (-87.556897 41.721257)
60617,37,09/06/2020,09/12/2020,42,2076,51,2515.3,958,25298,1161,30651.6,0.1,0.1,1,80,1.2,96.9,82534,60617-2020-37,POINT (-87.556897 41.721257)
60617,38,09/13/2020,09/19/2020,70,2146,85,2600.1,1048,26346,1270,31921.4,0.1,0.1,1,81,1.2,98.1,82534,60617-2020-38,POINT (-87.556897 41.721257)
60617,39,09/20/2020,09/26/2020,58,2204,70,2670.4,1309,27655,1586,33507.4,0.1,0.1,1,82,1.2,99.4,82534,60617-2020-39,POINT (-87.556897 41.721257)
60617,40,09/27/2020,10/03/2020,87,2291,105,2775.8,1185,28840,1436,34943.2,0.1,0.1,1,83,1.2,100.6,82534,60617-2020-40,POINT (-87.556897 41.721257)
60617,41,10/04/2020,10/10/2020,115,2406,139,2915.2,1475,30315,1787,36730.3,0.1,0.1,0,83,0.0,100.6,82534,60617-2020-41,POINT (-87.556897 41.721257)
60614,26,06/21/2020,06/27/2020,29,565,41,792.3,1029,6908,1443,9687.6,0.0,0.1,0,65,0.0,91.2,71308,60614-2020-26,POINT (-87.652064 41.922605)
60666,36,08/30/2020,09/05/2020,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,60666-2020-36,POINT (-87.896371 41.979511)
60633,17,04/19/2020,04/25/2020,17,47,132,365.2,69,201,536,1561.7,0.2,0.2,0,0,0.0,0.0,12871,60633-2020-17,POINT (-87.556037 41.653147)
60617,42,10/11/2020,10/17/2020,173,2579,210,3124.8,1684,31999,2040,38770.7,0.1,0.1,2,85,2.4,103.0,82534,60617-2020-42,POINT (-87.556897 41.721257)
60608,11,03/08/2020,03/14/2020,,,,,8,11,10,13.9,0.0,0.0,0,0,0.0,0.0,79205,60608-2020-11,POINT (-87.670366 41.849879)
60617,43,10/18/2020,10/24/2020,171,2750,207,3332,1679,33678,2034,40805,0.1,0.1,0,85,0.0,103.0,82534,60617-2020-43,POINT (-87.556897 41.721257)
60617,44,10/25/2020,10/31/2020,272,3022,330,3661.5,2321,35999,2812,43617.2,0.1,0.1,3,88,3.6,106.6,82534,60617-2020-44,POINT (-87.556897 41.721257)
60827,7,02/14/2021,02/20/2021,2,281,7,983.3,,807,0,2823.9,0.0,0.1,1,13,3.5,45.5,28577,60827-2021-7,POINT (-87.633087 41.650765)
60645,19,05/03/2020,05/09/2020,80,798,168,1671.8,474,2611,993,5470.1,0.2,0.3,6,43,12.6,90.1,47732,60645-2020-19,POINT (-87.695049 42.008927)
60617,45,11/01/2020,11/07/2020,407,3429,493,4154.7,2271,38270,2752,46368.8,0.2,0.1,1,89,1.2,107.8,82534,60617-2020-45,POINT (-87.556897 41.721257)
60636,14,03/29/2020,04/04/2020,77,138,239,428.5,134,295,416,916.1,0.5,0.4,7,9,21.7,27.9,32203,60636-2020-14,POINT (-87.668597 41.77599)
60666,2,01/10/2021,01/16/2021,,,,,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,60666-2021-2,POINT (-87.896371 41.979511)
60607,12,03/15/2020,03/21/2020,14,17,47,57.4,73,78,247,263.6,0.2,0.1,0,0,0.0,0.0,29591,60607-2020-12,POINT (-87.652727 41.876104)
60622,20,05/10/2020,05/16/2020,72,533,136,1009.6,490,2280,928,4318.8,0.2,0.2,5,46,9.5,87.1,52793,60622-2020-20,POINT (-87.681818 41.902762)
60610,10,03/01/2020,03/07/2020,,,,,3,3,8,7.7,0.0,0.0,0,0,0.0,0.0,39019,60610-2020-10,POINT (-87.63581 41.90455)
